CO2,Temperature,Humidity,Sun1,date
485,24.6,48.6,78.3,4/27/2025 16:24
532,24.6,48.2,77.2,4/27/2025 16:29
544,24.6,47.8,77.2,4/27/2025 16:34
528,24.5,47.6,79.3,4/27/2025 16:39
497,24.5,47.3,76.4,4/27/2025 16:44
474,24.4,47.1,79.4,4/27/2025 16:49
485,24.3,47.6,77.2,4/27/2025 16:54
528,24.3,47.5,77.7,4/27/2025 16:59
543,24.2,48.5,78.5,4/27/2025 17:04
518,24.1,49.5,76.4,4/27/2025 17:09
490,24.1,47.9,79.3,4/27/2025 17:14
465,24.1,48.6,77.5,4/27/2025 17:19
472,24.2,53.2,77.3,4/27/2025 17:24
517,24.7,56.3,78.6,4/27/2025 17:29
549,24.9,52.2,79.5,4/27/2025 17:34
535,24.8,49.5,77.8,4/27/2025 17:39
507,24.7,47.9,78,4/27/2025 17:44
481,24.5,48.9,79.4,4/27/2025 17:49
472,24.5,47.9,76.4,4/27/2025 17:54
506,24.4,47.9,78.4,4/27/2025 17:59
540,23.8,48.5,0,4/27/2025 18:04
535,23.1,55,0,4/27/2025 18:09
513,22.6,59.1,0,4/27/2025 18:14
488,21.9,59.5,0,4/27/2025 18:19
465,21.5,68.8,3999.9,4/27/2025 18:24
451,21,60.5,3999.9,4/27/2025 18:29
442,20.6,68.4,3999.9,4/27/2025 18:34
429,20.4,65.1,0,4/27/2025 18:39
421,20.1,62.8,0,4/27/2025 18:44
416,19.9,71.7,3999.9,4/27/2025 18:49
411,19.8,65,0,4/27/2025 18:54
412,19.5,68.8,0,4/27/2025 18:59
410,19.5,74.5,0,4/27/2025 19:04
411,19.2,65.4,0,4/27/2025 19:09
409,19.1,73,0,4/27/2025 19:14
411,19.2,82.1,0,4/27/2025 19:19
407,19,78.4,0,4/27/2025 19:24
411,18.7,78.6,0,4/27/2025 19:29
419,18.7,85.2,0,4/27/2025 19:34
422,18.8,88.8,0,4/27/2025 19:39
415,18.8,89.7,3999.8,4/27/2025 19:44
422,18.5,79.6,3999.9,4/27/2025 19:49
423,18.5,86.4,0,4/27/2025 19:54
424,18.6,89.8,3999.8,4/27/2025 19:59
429,18.6,91.9,0,4/27/2025 20:04
429,18.7,93.4,0,4/27/2025 20:09
430,18.7,94.5,3999.9,4/27/2025 20:14
432,18.4,84.3,0,4/27/2025 20:19
433,18.4,88.8,0,4/27/2025 20:24
435,18.5,91.5,0,4/27/2025 20:29
437,18.5,93.1,0,4/27/2025 20:34
437,18.6,94.3,0,4/27/2025 20:39
438,18.6,95.1,3999.8,4/27/2025 20:44
439,18.7,95.7,0,4/27/2025 20:49
441,18.7,96.1,3999.8,4/27/2025 20:54
442,18.8,96.4,3999.8,4/27/2025 20:59
444,18.8,96.7,0,4/27/2025 21:04
448,18.8,96.9,3999.9,4/27/2025 21:09
448,18.9,97,3999.8,4/27/2025 21:14
446,18.9,97.1,0,4/27/2025 21:19
446,18.8,97.2,3999.8,4/27/2025 21:24
450,18.9,97.4,0,4/27/2025 21:29
449,18.9,97.5,3999.8,4/27/2025 21:34
451,18.9,97.5,3999.9,4/27/2025 21:39
456,18.9,97.5,0,4/27/2025 21:44
457,18.9,97.5,0,4/27/2025 21:49
457,18.9,97.6,0,4/27/2025 21:54
452,18.9,97.7,0,4/27/2025 21:59
453,18.9,97.6,0,4/27/2025 22:04
457,18.8,97.7,0,4/27/2025 22:09
452,18.9,97.8,3999.9,4/27/2025 22:14
456,18.9,97.8,0,4/27/2025 22:19
457,18.9,97.8,3999.9,4/27/2025 22:24
462,18.8,97.8,0,4/27/2025 22:29
459,18.8,97.9,3999.8,4/27/2025 22:34
455,18.8,97.9,0,4/27/2025 22:39
458,18.8,98,0,4/27/2025 22:44
457,18.8,98,0,4/27/2025 22:49
462,18.8,98,0,4/27/2025 22:54
463,18.8,98,0,4/27/2025 22:59
464,18.7,98,0,4/27/2025 23:04
464,18.7,98,3999.8,4/27/2025 23:09
465,18.7,98,3999.9,4/27/2025 23:14
462,18.6,98,0,4/27/2025 23:19
462,18.7,98,0,4/27/2025 23:24
462,18.7,97.9,0,4/27/2025 23:29
467,18.6,97.8,0,4/27/2025 23:34
469,18.5,97.7,3999.9,4/27/2025 23:39
470,18.6,97.7,0,4/27/2025 23:44
468,18.5,97.7,0,4/27/2025 23:49
469,18.5,97.6,0,4/27/2025 23:54
470,18.5,97.6,0,4/27/2025 23:59
470,18.5,97.5,0,4/28/2025 0:04
470,18.5,97.5,0,4/28/2025 0:09
477,18.4,97.4,3999.8,4/28/2025 0:14
468,18.4,97.2,3999.8,4/28/2025 0:19
469,18.4,97.1,0,4/28/2025 0:24
471,18.4,97,3999.8,4/28/2025 0:29
471,18.3,96.9,3999.8,4/28/2025 0:34
470,18.3,96.8,0,4/28/2025 0:39
472,18.3,96.5,0,4/28/2025 0:44
473,18.3,96.5,3999.8,4/28/2025 0:49
474,18.3,96.4,3999.8,4/28/2025 0:54
473,18.2,96.4,0,4/28/2025 0:59
474,18.2,96.2,0,4/28/2025 1:04
476,18.2,96.1,0,4/28/2025 1:09
480,18.2,95.9,0,4/28/2025 1:14
477,18.2,95.8,0,4/28/2025 1:19
480,18.2,95.7,0,4/28/2025 1:24
477,18.2,95.6,3999.8,4/28/2025 1:29
476,18.1,95.4,0,4/28/2025 1:34
479,18.1,95.4,0,4/28/2025 1:39
482,18.1,95.2,0,4/28/2025 1:44
479,18.1,95.1,3999.8,4/28/2025 1:49
480,18.1,95.1,3999.8,4/28/2025 1:54
481,18,94.8,3999.9,4/28/2025 1:59
479,18,94.7,0,4/28/2025 2:04
480,18,94.5,0,4/28/2025 2:09
483,18,94.4,3999.8,4/28/2025 2:14
484,18,94.2,3999.8,4/28/2025 2:19
479,18,94.1,0,4/28/2025 2:24
481,17.9,93.9,3999.8,4/28/2025 2:29
486,17.9,94,0,4/28/2025 2:34
481,17.9,93.9,0,4/28/2025 2:39
482,17.8,93.7,0,4/28/2025 2:44
477,17.9,93.6,0,4/28/2025 2:49
479,17.8,93.7,3999.9,4/28/2025 2:54
483,17.8,93.6,0,4/28/2025 2:59
482,17.8,93.5,3999.8,4/28/2025 3:04
479,17.8,93.5,0,4/28/2025 3:09
483,17.7,93.5,3999.8,4/28/2025 3:14
486,17.7,93.3,0,4/28/2025 3:19
486,17.7,93.3,3999.8,4/28/2025 3:24
486,17.7,93.2,0,4/28/2025 3:29
487,17.6,93.2,0,4/28/2025 3:34
488,17.6,93.1,0,4/28/2025 3:39
489,17.6,93,3999.8,4/28/2025 3:44
491,17.5,93,3999.9,4/28/2025 3:49
487,17.6,93.1,0,4/28/2025 3:54
487,17.5,93.1,0,4/28/2025 3:59
493,17.5,92.9,0,4/28/2025 4:04
490,17.5,93,3999.9,4/28/2025 4:09
489,17.4,92.8,0,4/28/2025 4:14
489,17.4,92.8,0,4/28/2025 4:19
492,17.4,92.8,0,4/28/2025 4:24
491,17.3,92.6,3999.8,4/28/2025 4:29
491,17.3,92.7,3999.8,4/28/2025 4:34
488,17.3,92.6,0,4/28/2025 4:39
489,17.2,92.6,0,4/28/2025 4:44
488,17.2,92.7,3999.9,4/28/2025 4:49
492,17.2,92.6,3999.8,4/28/2025 4:54
490,17.1,92.7,0,4/28/2025 4:59
493,17.1,92.6,3999.8,4/28/2025 5:04
489,17.1,92.6,0,4/28/2025 5:09
494,17.1,92.7,3999.8,4/28/2025 5:14
496,17,92.5,0,4/28/2025 5:19
495,17,92.6,3999.9,4/28/2025 5:24
497,16.9,92.7,0,4/28/2025 5:29
494,16.9,92.7,0,4/28/2025 5:34
494,16.9,92.7,0,4/28/2025 5:39
498,16.8,92.7,0,4/28/2025 5:44
496,16.8,91.5,3999.8,4/28/2025 5:49
491,16.7,89.5,0,4/28/2025 5:54
489,16.6,87.8,0,4/28/2025 5:59
477,16.5,86.2,0,4/28/2025 6:04
473,16.4,85.1,3999.8,4/28/2025 6:09
466,16.3,84.1,3999.9,4/28/2025 6:14
459,16.2,83.6,0,4/28/2025 6:19
464,16.1,83.1,0,4/28/2025 6:24
466,16.1,82.7,0,4/28/2025 6:29
469,16,82.5,0,4/28/2025 6:34
463,15.9,82.4,3999.8,4/28/2025 6:39
461,15.9,82.5,3999.9,4/28/2025 6:44
460,15.8,82.5,0,4/28/2025 6:49
465,15.7,82.6,0,4/28/2025 6:54
467,15.7,82.7,0,4/28/2025 6:59
466,16,81.9,81.8,4/28/2025 7:04
508,16.6,80,81,4/28/2025 7:09
577,17.3,77.6,80.1,4/28/2025 7:14
640,18,75.1,80.8,4/28/2025 7:19
684,18.8,72.3,79.4,4/28/2025 7:24
683,19.3,64.6,79,4/28/2025 7:29
651,19.4,63.8,81.4,4/28/2025 7:34
608,20.1,70.4,80.2,4/28/2025 7:39
575,20.7,66.2,79.5,4/28/2025 7:44
583,20.9,58.9,78.6,4/28/2025 7:49
616,21.5,65.3,80,4/28/2025 7:54
646,21.6,56,78,4/28/2025 7:59
643,21.7,62,79.9,4/28/2025 8:04
618,22.3,56.3,80.1,4/28/2025 8:09
579,22.3,50.7,79.5,4/28/2025 8:14
564,22.5,55.7,79.8,4/28/2025 8:19
572,23,54.3,78.3,4/28/2025 8:24
591,22.7,47.8,77.7,4/28/2025 8:29
611,23,58.3,78.2,4/28/2025 8:34
622,23.5,55.6,77.5,4/28/2025 8:39
598,23.1,45.5,77.2,4/28/2025 8:44
587,22.8,60.3,78.4,4/28/2025 8:49
596,23.6,50.9,79.9,4/28/2025 8:54
613,23.2,45.6,79.8,4/28/2025 8:59
650,23,60.2,79.4,4/28/2025 9:04
633,23.9,52.1,77.7,4/28/2025 9:09
584,23.6,45.6,78.5,4/28/2025 9:14
564,23.4,60.4,78.9,4/28/2025 9:19
588,24.2,65.5,77,4/28/2025 9:24
620,24.2,42.7,79.5,4/28/2025 9:29
652,23.4,51.5,79.4,4/28/2025 9:34
641,24,62.6,77,4/28/2025 9:39
611,24.6,49.2,79.8,4/28/2025 9:44
580,24,47.1,79.4,4/28/2025 9:49
614,24.2,59.2,78.6,4/28/2025 9:54
654,24.9,51.6,76.9,4/28/2025 9:59
645,24.2,46.5,76.7,4/28/2025 10:04
608,23.9,61.8,79.5,4/28/2025 10:09
572,25.2,63,77,4/28/2025 10:14
594,24.8,48.6,79.5,4/28/2025 10:19
650,24.2,50.5,79.1,4/28/2025 10:24
674,24.9,62.8,77.3,4/28/2025 10:29
630,25.9,63.3,76.9,4/28/2025 10:34
583,25.5,48,79.3,4/28/2025 10:39
580,24.8,49.5,78.4,4/28/2025 10:44
621,25.1,61.7,78,4/28/2025 10:49
655,25.9,53.2,76.8,4/28/2025 10:54
657,25.8,53,76.7,4/28/2025 10:59
612,25.5,50.8,78.4,4/28/2025 11:04
582,25.2,50.4,79.4,4/28/2025 11:09
614,24.9,51.3,79.4,4/28/2025 11:14
658,24.8,51.8,79.3,4/28/2025 11:19
663,24.9,53,76.7,4/28/2025 11:24
619,24.9,51.5,79.6,4/28/2025 11:29
589,24.7,53,76.5,4/28/2025 11:34
620,24.6,53.7,77.3,4/28/2025 11:39
666,24.7,54.1,78.3,4/28/2025 11:44
660,24.6,53.9,79.4,4/28/2025 11:49
621,24.8,58.4,77.5,4/28/2025 11:54
593,25.1,55.7,76.8,4/28/2025 11:59
616,25.2,54.7,76.9,4/28/2025 12:04
648,25.2,54.6,79.4,4/28/2025 12:09
629,25,53.5,79.5,4/28/2025 12:14
585,24.9,53.4,78,4/28/2025 12:19
574,24.7,52.3,79.5,4/28/2025 12:24
610,24.6,52.2,79.5,4/28/2025 12:29
641,24.4,54.2,76.5,4/28/2025 12:34
636,24.4,53.3,76.7,4/28/2025 12:39
596,24.3,53.6,79.1,4/28/2025 12:44
576,24.2,54,77,4/28/2025 12:49
598,24.3,56.4,79.7,4/28/2025 12:54
637,24.4,57.6,78,4/28/2025 12:59
646,24.5,55.4,78.9,4/28/2025 13:04
611,24.5,52.4,79.1,4/28/2025 13:09
566,24.3,50.6,76.9,4/28/2025 13:14
561,24.2,51.3,76.7,4/28/2025 13:19
589,24.1,53.3,77.5,4/28/2025 13:24
621,24.1,51.7,77,4/28/2025 13:29
620,24,52.2,77,4/28/2025 13:34
582,24,51.4,77.6,4/28/2025 13:39
560,24,51.7,77.3,4/28/2025 13:44
580,24,54.2,76.8,4/28/2025 13:49
613,24.1,57.1,76.9,4/28/2025 13:54
629,24.3,56.2,79.5,4/28/2025 13:59
603,24.4,54.4,77.9,4/28/2025 14:04
562,24.4,52.1,79.7,4/28/2025 14:09
558,24.4,49.2,77.9,4/28/2025 14:14
580,24.2,49.3,78.1,4/28/2025 14:19
609,24.1,51.7,76.7,4/28/2025 14:24
620,24.1,52.7,76.9,4/28/2025 14:29
596,24.3,52.8,77.2,4/28/2025 14:34
561,24.2,49.4,78.4,4/28/2025 14:39
556,24,49.7,76.9,4/28/2025 14:44
578,24,51.8,77,4/28/2025 14:49
599,24,53,79.7,4/28/2025 14:54
619,24.1,54,78.7,4/28/2025 14:59
599,24.2,51.9,77.2,4/28/2025 15:04
563,24.1,49.8,77.6,4/28/2025 15:09
564,24.1,49.8,79.6,4/28/2025 15:14
580,24,49.4,78.2,4/28/2025 15:19
599,23.9,49.4,79.2,4/28/2025 15:24
607,23.9,49.6,78.4,4/28/2025 15:29
610,24,50.7,79.7,4/28/2025 15:34
582,23.9,49.5,79,4/28/2025 15:39
550,23.9,49.8,78.4,4/28/2025 15:44
553,24.1,49.9,77.2,4/28/2025 15:49
572,24.2,51.4,79.4,4/28/2025 15:54
583,24.3,51.2,77.7,4/28/2025 15:59
588,24.2,51.7,78.2,4/28/2025 16:04
566,24.3,51.1,79.7,4/28/2025 16:09
529,24.2,49.8,79.1,4/28/2025 16:14
499,24.1,50,79.2,4/28/2025 16:19
472,23.9,49.1,79.6,4/28/2025 16:24
468,24,49.2,79.5,4/28/2025 16:29
500,24,50.2,78.6,4/28/2025 16:34
533,24,50,79.2,4/28/2025 16:39
529,23.9,50,77.8,4/28/2025 16:44
507,23.9,51.3,78.3,4/28/2025 16:49
488,23.9,48.9,77.4,4/28/2025 16:54
500,23.8,50.2,76.9,4/28/2025 16:59
529,23.9,50.9,79.5,4/28/2025 17:04
537,23.9,51.5,79.5,4/28/2025 17:09
516,24,51.1,79.1,4/28/2025 17:14
491,23.9,51.6,78.6,4/28/2025 17:19
